entity_type,entity_id,record_source,record_source.1,record_source.2,record_source.3,record_source.4,record_source.5,record_source.6,record_count,record_id,record_id.1,record_id.2,record_id.3,record_id.4,record_id.5,record_id.6,record_number,record_number.1,record_number.2,record_number.3,record_number.4,record_number.5,record_number.6,birth_date.value,credit_card.identification_number,data_segment.value,gender.value,graduation_year.value,home_telephone.phone_number,income_level.value,legal_name.given_name,legal_name.last_name,main_address.address_line1,main_address.city,main_address.latitude_degrees,main_address.longitude_degrees,main_address.province_state,main_address.zip_postal_code,mobile_telephone.phone_number,online_behaviour.value,preferred_languages.value,primary_care.value,social_insurance_number.identification_number,status.value,x_twitter.social_media_handle,collection_id,entity_last_updated,created_date
person_entity,person_entity-151760,MOUNT SINAI,MARKETING,MDMPER,PX_PHARMACY,,,,4,12573,2572,2573,12572,,,,815232,151760,119000,819304,,,,24/3/1958,8865-4894-5361-8498,Patient,M,,674-9654,50-70K,WAYNE,MCCARTHY,342 AnchorHill RD,San Marcos,,,TX,78666,210-694-4132,7,English,,472-94-0012,Active,@wa_mccarthy,e20f745f-1b2f-40bc-b7f1-32731875feeb,1708406940312,1708406940312
person_entity,person_entity-671840,NPI,MDMPER,PX_PHARMACY,,,,,3,6861452690,1862,11862,,,,,1843384,77888,671840,,,,,31/10/1934,,Base,Other,2014,915-835-7247,,CAROL,DIAZ,674 Alpine TRL,San Marcos,29.972907,-97.997166,TX,78666,281-444-0814,9,French,Family medicine,035-23-3689,Active,,e20f745f-1b2f-40bc-b7f1-32731875feeb,1708406940312,1708406940312
person_entity,person_entity-434328,MOUNT SINAI,CRM,PX_PHARMACY,CRM,,,,4,13136,3137,13137,3136,,,,2420744,638984,41832648,434328,,,,25/8/1958,3195-7716-7971-3495,Patient,M,,718-207-2387,50-70K,JOHN,WELLES,712 Barlow RD,Gloversville,,,NY,12078,315-745-6468,7,Spanish,,525-27-4254,Active,@welles,e20f745f-1b2f-40bc-b7f1-32731875feeb,1708406940312,1708406940312
person_entity,person_entity-172088,MARKETING,NPI,ONLINE,,,,,3,11883,6795620993,1883,,,,,1446040,1892408,172088,,,,,26/4/1943,7805-4622-6857-6866,Base,N/A,2011,929-675-7009,,ANITA,MARLOWE,2842 Webb AVE,Bronx,,,NY,10468,917-651-0387,8,English,Physical therapy,406-11-2345,Active,@a_marlowe,e20f745f-1b2f-40bc-b7f1-32731875feeb,1708406940312,1708406940312
person_entity,person_entity-483528,MOUNT SINAI,ONLINE,,,,,,2,12475,2475,,,,,,1622136,483528,,,,,,23/12/1958,5355-5399-3521-5609,Base,F,,315-473-3212,,FERNANDA,PHILLIPS,3536 Ball RD,Marion,43.15594,-77.172684,,14505,646-683-6807,7,English,,090-76-8048,Active,@phillips,e20f745f-1b2f-40bc-b7f1-32731875feeb,1708406940312,1708406940312
person_entity,person_entity-41312304,MARKETING,MDMPER,ONLINE,,,,,3,4280,4279,4278,,,,,41312304,41570456,614584,,,,,8/2/1968,7216-4686-3053-8568,Base,M,,416-275-2754,under 50K,EDWARD,MARLOW,6346 Fionna Dr.,Markham,,,ON,L6G1Y5,905-540-0045,5,English,,920-642-545,Active,@sahampton,e20f745f-1b2f-40bc-b7f1-32731875feeb,1708406940312,1708406940312
person_entity,person_entity-630880,MOUNT SINAI,NPI,MDMPER,,,,,3,11270,3893762336,1270,,,,,630880,41898184,61488,,,,,5/12/1945,,Base,N/A,1997,940-922-0646,under 50K,FLORENCE,MARLER,522 BlueBell RD,Houston,29.83399,-95.434241,TX,77038,972-347-6862,8,Spanish,Ophthalmology,206-92-7450,Active,@flmarler,e20f745f-1b2f-40bc-b7f1-32731875feeb,1708406940312,1708406940312
person_entity,person_entity-1429560,NPI,MARKETING,MDMPER,,,,,3,6284743765,11998,1998,,,,,3014856,1429560,41066568,,,,,29/10/1966,3420-7874-6720-3420,Base,N/A,2019,432-921-6448,under 50K,MARYLOU,ROBR,4045 CedarCrest DR,Mckinney,33.230381,-96.627018,TX,75070,830-245-3732,6,English,Oncology,180-46-2342,Active,@robr,e20f745f-1b2f-40bc-b7f1-32731875feeb,1708406940312,1708406940312
person_entity,person_entity-36888,PX_PHARMACY,NPI,MDMPER,,,,,3,11525,2109316919,1525,,,,,667712,1941736,36888,,,,,20/5/1984,6710-7593-8859-3578,Patient,M,2007,430-806-1637,under 50K,CARLOS,MILLER,2056 Bleker ST,Houston,,,TX,77026,832-688-2782,4,English,Pharmacist,030-62-7203,Active,@miller,e20f745f-1b2f-40bc-b7f1-32731875feeb,1708406940312,1708406940312
person_entity,person_entity-2199752,NPI,PX_PHARMACY,MDMPER,,,,,3,6214047573,11846,1846,,,,,42737816,2199752,188648,,,,,26/3/1988,6407-5646-5131-3827,Base,M,1997,607-971-6476,,CARLOS,ALLEY,36 CityIsland AVE,Bronx,40.863028,-73.799802,,10464,718-749-0902,4,English,Hematology,396-56-0250,Active,@alley,e20f745f-1b2f-40bc-b7f1-32731875feeb,1708406940312,1708406940312
person_entity,person_entity-1024208,PX_PHARMACY,NPI,MDMPER,,,,,3,11941,7522725123,1941,,,,,1343672,1024208,86184,,,,,26/7/1939,7331-4140-5942-6982,Patient,M,2008,646-688-5120,under 50K,MARIO,SPRINGER,240 BaileyHollow RD,,,,,,607-217-9692,8,English,Urology,474-86-0003,Active,,e20f745f-1b2f-40bc-b7f1-32731875feeb,1708406940312,1708406940312
person_entity,person_entity-41300216,CRM,ONLINE,ONLINE,,,,,3,4049,4050,4051,,,,,295080,663784,41529496,,,,,28/10/1991,5166-7845-7293-7194,Base,N/A,,718-409-2713,70-100K,CARLOS,ANDERBERG,7981 Vleigh PL,Flushing,40.730164,-73.821997,NY,11367,607-598-7976,3,English,,209-63-9784,Prospect,@caanderson,e20f745f-1b2f-40bc-b7f1-32731875feeb,1708406940312,1708406940312
person_entity,person_entity-336080,ONLINE,MDMPER,MORTGAGE,MARKETING,,,,4,4290,4291,4293,4292,,,,41365704,41574552,962568,336080,,,,12/8/1970,3049-3854-5370-3457,Base,F,,416-275-2754,70-100K,ROSIE,MARLOW,6346 Fionna Dr.,Markham,,,ON,L6G1Y5,905-540-0045,6,English,,435-818-126,Active,@marl,e20f745f-1b2f-40bc-b7f1-32731875feeb,1708406940312,1708406940312
person_entity,person_entity-229432,MDMPER,NPI,MARKETING,,,,,3,2063,2352784991,12063,,,,,229432,2072728,1376256,,,,,24/7/1977,,Base,N/A,1999,361-665-7209,100-150K,BRIAN,DUCOTEY,386 BarH LN,Marion,,,TX,78124,903-995-6100,5,English,Ophthalmology,494-04-2458,Active,@bducotey,e20f745f-1b2f-40bc-b7f1-32731875feeb,1708406940312,1708406940312
person_entity,person_entity-147464,MDMPER,MOUNT SINAI,NPI,,,,,3,1429,11429,1426168982,,,,,147464,1335528,958592,,,,,25/9/1991,3014-3447-4261-4549,Provider,F,2012,915-903-4866,50-70K,CAPRICE,CLINGER,674 Alpine TRL,San Marcos,,,TX,78666,409-435-9300,3,English,Preventive healthcare,321-01-4856,Retired,@cclinger,e20f745f-1b2f-40bc-b7f1-32731875feeb,1708406940312,1708406940312
